BHK,Total Area,Price,bedroom
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.15 L - 1.31 Cr
₹ 17,070/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"552-641 sq.ft.
(51-60 sq.m.) Carpet Area",₹ 81.05 - 94 L,2 BHK
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.45 - 53.71 L,1 BHK
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.25 L - 1.31 Cr
₹ 17,078/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"552-559 sq.ft.
(51-52 sq.m.) Carpet Area",₹ 81.11 - 82.13 L,2 BHK
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.54 - 53.84 L,1 BHK
3 BHK Apartment in Ghansoli,"1,810 sq.ft.
(168 sq.m.) Super built-up Area","₹ 2.09 - 2.09 Cr
₹ 11,546/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.25 L - 1.31 Cr
₹ 17,078/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ulwe,"1,040-1,810 sq.ft.
(97-168 sq.m.) Super built-up Area","₹ 1.6 - 2.78 Cr
₹ 15,384/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ulwe,"770-1,310 sq.ft.
(72-122 sq.m.) Super built-up Area","₹ 1.1 - 1.87 Cr
₹ 14,285/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Shilphata,"740 sq.ft.
(69 sq.m.) Carpet Area",₹ 74 L,"2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"380 sq.ft.
(35 sq.m.) Carpet Area",₹ 40 L,1 BHK
2 BHK Apartment in Kharghar,"552 sq.ft.
(51 sq.m.) Carpet Area",₹ 80.35 L,2 BHK
2 BHK Apartment in Panvel,"575 sq.ft.
(53 sq.m.) Carpet Area","₹ 60.94 - 60.94 L
₹ 10,588/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Panvel East,"443-498 sq.ft.
(41-46 sq.m.) Carpet Area","₹ 79.66 - 87.83 L
₹ 17,783/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in New Panvel East,"324 sq.ft.
(30 sq.m.) Carpet Area","₹ 60.93 L
₹ 18,786/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Roadpali,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 44 L
₹ 9,777/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-8 Sanpada,"1,180 sq.ft.
(110 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 15,254/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-18A Nerul,"1,352 sq.ft.
(126 sq.m.) Super built-up Area","₹ 3 Cr
₹ 22,189/sq.ft.","2 BHK
3 Baths"
1 BHK Apartment in Sector 21 Kamothe,"750 sq.ft.
(70 sq.m.) Super built-up Area","₹ 63 L
₹ 8,400/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector 36 Kamothe,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 88 L
₹ 8,380/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,080-1,265 sq.ft.
(100-118 sq.m.) Super built-up Area","₹ 1.1 - 1.29 Cr
₹ 10,186/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 22 Kamothe,"1,191 sq.ft.
(111 sq.m.) Super built-up Area","₹ 86.15 L
₹ 7,233/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 89 L
₹ 8,476/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"552-641 sq.ft.
(51-60 sq.m.) Carpet Area",₹ 80.35 - 94 L,2 BHK
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.32 - 53.71 L,1 BHK
1 BHK Apartment in Taloja,"305 sq.ft.
(28 sq.m.) Carpet Area","₹ 28.49 L
₹ 9,342/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Kamothe,"1,070 sq.ft.
(99 sq.m.) Super built-up Area","₹ 1.04 Cr
₹ 9,710/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Seawoods,"2,180 sq.ft.
(203 sq.m.) Super built-up Area","₹ 3.75 Cr
₹ 17,201/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Kamothe,"688 sq.ft.
(64 sq.m.) Super built-up Area","₹ 60 L
₹ 8,720/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-58 Seawoods,"2,180 sq.ft.
(203 sq.m.) Super built-up Area","₹ 4.25 Cr
₹ 19,495/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Kamothe,"800 sq.ft.
(74 sq.m.) Super built-up Area","₹ 67.6 L
₹ 8,450/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Kalamboli,"1,089 sq.ft.
(101 sq.m.) Super built-up Area","₹ 78.5 L
₹ 7,208/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 18 Kamothe,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 50 L
₹ 7,692/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Kharghar,"523-532 sq.ft.
(49-49 sq.m.) Carpet Area",₹ 58.94 - 60.69 L,"2 BHK
2 Baths"
1 BHK Apartment in Kharghar,"340 sq.ft.
(32 sq.m.) Carpet Area",₹ 41.55 L,"1 BHK
1 Bath"
2 BHK Apartment in Kharghar,"1,205 sq.ft.
(112 sq.m.) Super built-up Area","₹ 1.22 Cr
₹ 10,124/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"1,295 sq.ft.
(120 sq.m.) Built-up Area","₹ 1.5 Cr
₹ 11,583/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-8 Sanpada,"1,245 sq.ft.
(116 sq.m.) Built-up Area","₹ 1.3 Cr
₹ 10,441/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-8 Sanpada,"1,180 sq.ft.
(110 sq.m.) Built-up Area","₹ 1.9 Cr
₹ 16,101/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,105 sq.ft.
(103 sq.m.) Built-up Area","₹ 86 L
₹ 7,782/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kamothe,"1,180 sq.ft.
(110 sq.m.) Super built-up Area","₹ 94 L
₹ 7,966/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kharghar,"435 sq.ft.
(40 sq.m.) Carpet Area",₹ 52.25 L,1 BHK
2 BHK Apartment in Airoli,"638-738 sq.ft.
(59-69 sq.m.) Carpet Area","₹ 1.2 - 1.39 Cr
₹ 18,809/sq.ft.",2 BHK
1 BHK Apartment in Sector-9 Kopar Khairane,"480 sq.ft.
(45 sq.m.) Carpet Area","₹ 85 L
₹ 17,708/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Kharghar,"682 sq.ft.
(63 sq.m.) Carpet Area","₹ 89 L
₹ 13,037/sq.ft.",2 BHK
2 BHK Apartment in Kharghar,"523-532 sq.ft.
(49-49 sq.m.) Carpet Area",₹ 53.66 - 54.58 L,"2 BHK
2 Baths"
2 BHK Apartment in Rasayani,"750-905 sq.ft.
(70-84 sq.m.) Super built-up Area","₹ 33.31 - 40.19 L
₹ 4,395/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Rasayani,"460-750 sq.ft.
(43-70 sq.m.) Super built-up Area","₹ 18.22 - 29.71 L
₹ 3,960/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"324-373 sq.ft.
(30-35 sq.m.) Carpet Area",₹ 52.16 - 60.05 L,1 BHK
1 BHK Apartment in Taloja Panchanand,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 43.13 L
₹ 6,250/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Kharghar,"550-641 sq.ft.
(51-60 sq.m.) Carpet Area",₹ 80.81 - 94.18 L,2 BHK
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.5 - 53.84 L,1 BHK
2 BHK Apartment in Taloja,"513 sq.ft.
(48 sq.m.) Carpet Area",₹ 44.73 L,2 BHK
1 BHK Apartment in Taloja,"346 sq.ft.
(32 sq.m.) Carpet Area",₹ 29.74 L,1 BHK
2 BHK Apartment in Shilphata,"630 sq.ft.
(59 sq.m.) Carpet Area","₹ 48.5 L
₹ 7,699/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"306 sq.ft.
(28 sq.m.) Carpet Area","₹ 30.95 L
₹ 10,115/sq.ft.",1 BHK
1 BHK Apartment in Taloja,"290 sq.ft.
(27 sq.m.) Carpet Area","₹ 27.28 L
₹ 9,376/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-16 Taloja,"600 sq.ft.
(56 sq.m.) Carpet Area","₹ 45 L
₹ 7,500/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Taloja,"605-620 sq.ft.
(56-58 sq.m.) Carpet Area",₹ 50.16 - 51.4 L,2 BHK
1 BHK Apartment in Taloja,"384-397 sq.ft.
(36-37 sq.m.) Carpet Area",₹ 32.64 - 33.74 L,"1 BHK
1 Bath"
3 BHK Apartment in Sector-34A Kharghar,"878 sq.ft.
(82 sq.m.) Carpet Area","₹ 1.3 Cr
₹ 14,789/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-34A Kharghar,"672 sq.ft.
(62 sq.m.) Carpet Area","₹ 1.05 Cr
₹ 15,612/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 61 - 81.16 L
₹ 10,603/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"552-559 sq.ft.
(51-52 sq.m.) Carpet Area",₹ 81.11 - 82.13 L,2 BHK
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.54 - 53.84 L,1 BHK
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.15 L - 1.31 Cr
₹ 17,070/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Taloja,"513 sq.ft.
(48 sq.m.) Carpet Area",₹ 44.7 L,2 BHK
1 BHK Apartment in Taloja,"346 sq.ft.
(32 sq.m.) Carpet Area",₹ 29.73 L,1 BHK
2 BHK Apartment in Shilphata,"508 sq.ft.
(47 sq.m.) Carpet Area","₹ 65 L
₹ 12,786/sq.ft.",2 BHK
1 BHK Apartment in Shilphata,"370 sq.ft.
(34 sq.m.) Carpet Area","₹ 45 L
₹ 12,157/sq.ft.",1 BHK
3 BHK Apartment in Ghansoli,"529-622 sq.ft.
(49-58 sq.m.) Carpet Area","₹ 1.87 - 2.2 Cr
₹ 35,348/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ghansoli,"429 sq.ft.
(40 sq.m.) Carpet Area","₹ 1.4 Cr
₹ 32,568/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"1,650-1,810 sq.ft.
(153-168 sq.m.) Super built-up Area","₹ 2.21 - 2.42 Cr
₹ 13,394/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-23 Kharghar,"1,100 sq.ft.
(102 sq.m.) Carpet Area",₹ 2.5 Cr,3 BHK
2 BHK Apartment in Sector-23 Kharghar,"740 sq.ft.
(69 sq.m.) Carpet Area",₹ 1.7 Cr,2 BHK
2 BHK Apartment in Panvel,"495-750 sq.ft.
(46-70 sq.m.) Carpet Area",₹ 69 L - 1.05 Cr,2 BHK
1 BHK Apartment in Panvel,"450-515 sq.ft.
(42-48 sq.m.) Carpet Area",₹ 45 - 51.5 L,"1 BHK
1 Bath"
2 BHK Apartment in Taloja,"513 sq.ft.
(48 sq.m.) Carpet Area",₹ 44.73 L,2 BHK
1 BHK Apartment in Taloja,"346 sq.ft.
(32 sq.m.) Carpet Area",₹ 29.74 L,1 BHK
2 BHK Apartment in Sector 15 Kharghar,"1,163 sq.ft.
(108 sq.m.) Super built-up Area","₹ 1.42 Cr
₹ 12,210/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kharghar,"981-1,150 sq.ft.
(91-107 sq.m.) Super built-up Area","₹ 95 L - 1.1 Cr
₹ 9,624/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Vashi,"710-990 sq.ft.
(66-92 sq.m.) Carpet Area",₹ 3.49 - 4.24 Cr,"3 BHK
3 Baths"
2 BHK Apartment in Vashi,"556-750 sq.ft.
(52-70 sq.m.) Carpet Area",₹ 2.38 - 2.48 Cr,"2 BHK
2 Baths"
1 BHK Apartment in Karade Khurd,"600 sq.ft.
(56 sq.m.) Built-up Area","₹ 20 L
₹ 3,333/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Rasayani,"750-790 sq.ft.
(70-73 sq.m.) Super built-up Area","₹ 33.31 - 34 L
₹ 4,372/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Rasayani,"460-660 sq.ft.
(43-61 sq.m.) Super built-up Area","₹ 18.22 - 28.43 L
₹ 4,133/sq.ft.",1 BHK
3 BHK Apartment in Nerul,"850 sq.ft.
(79 sq.m.) Carpet Area","₹ 2.87 Cr
₹ 33,751/sq.ft.","3 BHK
4 Baths"
2 BHK Apartment in Taloja,"583 sq.ft.
(54 sq.m.) Carpet Area",₹ 45.18 L,"2 BHK
2 Baths"
1 BHK Apartment in Taloja,"400-411 sq.ft.
(37-38 sq.m.) Carpet Area",₹ 31 - 31.85 L,"1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.32 - 53.71 L,1 BHK
2 BHK Apartment in Kharghar,"523 sq.ft.
(49 sq.m.) Carpet Area",₹ 53.6 L,"2 BHK
2 Baths"
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.14 L - 1.3 Cr
₹ 17,053/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"318 sq.ft.
(30 sq.m.) Carpet Area",₹ 35 L,1 BHK
1 BHK Apartment in Sector-16 Ulwe,"655-695 sq.ft.
(61-65 sq.m.) Super built-up Area","₹ 44.54 - 47.26 L
₹ 6,800/sq.ft.",1 BHK
2 BHK Apartment in Ghansoli,"995 sq.ft.
(92 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 12,060/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"1,400 sq.ft.
(130 sq.m.) Super built-up Area","₹ 2.25 Cr
₹ 14,642/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-38 Seawoods,"1,490 sq.ft.
(138 sq.m.) Super built-up Area","₹ 2.1 Cr
₹ 14,093/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ulwe,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 84 L
₹ 7,636/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-35E Kharghar,"1,685 sq.ft.
(157 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 10,682/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 36 Kamothe,"695 sq.ft.
(65 sq.m.) Super built-up Area","₹ 62.9 L
₹ 9,050/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-34B Kharghar,"1,070 sq.ft.
(99 sq.m.) Super built-up Area","₹ 90 L
₹ 8,411/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"523-532 sq.ft.
(49-49 sq.m.) Carpet Area",₹ 59.05 - 60.7 L,"2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"1,299 sq.ft.
(121 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 12,317/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kharghar,"408 sq.ft.
(38 sq.m.) Carpet Area",₹ 50.32 L,1 BHK
3 BHK Apartment in Seawoods,"2,150 sq.ft.
(200 sq.m.) Super built-up Area","₹ 3.5 Cr
₹ 16,279/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 22 Kamothe,"1,092 sq.ft.
(101 sq.m.) Super built-up Area","₹ 75 L
₹ 6,868/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 20 Kamothe,"680 sq.ft.
(63 sq.m.) Super built-up Area","₹ 67 L
₹ 9,852/sq.ft.","1 BHK
2 Baths"
